image_name,blur_score,brightness,contrast,width,height,resolution,grade
img_5498.jpg,31716.19,135.14,58.97,800,600,480000,A
img_5706.jpg,27606.93,133.58,52.65,800,600,480000,A
img_2776.jpg,23363.27,146.93,56.05,800,600,480000,A
img_7911.jpg,23363.27,146.93,56.05,800,600,480000,A
img_7471.jpg,23303.57,100.9,58.62,800,600,480000,A
img_1891.jpg,23151.38,108.66,65.9,800,600,480000,A
img_8791.jpg,22703.23,135.13,60.21,800,600,480000,A
img_8429.jpg,22556.69,123.58,52.12,800,600,480000,A
img_5534.jpg,22262.33,107.54,60.19,800,600,480000,A
img_1229.jpg,21542.16,120.77,54.8,800,600,480000,A
img_4912.jpg,21141.92,121.89,62.03,800,600,480000,A
img_3748.jpg,21116.68,128.7,61.63,800,600,480000,A
img_5700.jpg,20775.82,124.19,63.4,800,600,480000,A
img_1314.jpg,20199.06,115.18,60.11,800,600,480000,A
img_4106.jpg,20040.87,137.37,59.8,800,600,480000,A
img_4521.jpg,20040.87,137.37,59.8,800,600,480000,A
img_5149.jpg,20003.32,128.12,61.15,800,600,480000,A
img_6735.jpg,19678.67,113.07,61.55,800,600,480000,A
img_1335.jpg,19164.31,102.81,58.83,800,600,480000,A
img_545.jpg,19150.93,120.63,63.16,800,600,480000,A
img_3902.jpg,18465.81,134.02,69.83,800,600,480000,A
img_4317.jpg,18465.81,134.02,69.83,800,600,480000,A
img_6700.jpg,18286.99,138.62,62.94,800,599,479200,A
img_7733.jpg,17857.33,116.04,57.95,800,600,480000,A
img_2393.jpg,17849.6,139.3,62.61,800,600,480000,A
img_606.jpg,17782.38,105.75,61.21,800,600,480000,A
img_4302.jpg,17429.38,124.93,50.04,800,600,480000,A
img_4726.jpg,17429.38,124.93,50.04,800,600,480000,A
img_4760.jpg,17052.1,121.56,55.27,800,600,480000,A
img_5475.jpg,17008.91,92.81,62.12,800,600,480000,A
img_7232.jpg,16871.02,90.23,57.08,800,600,480000,A
img_8544.jpg,16817.07,116.93,65.71,800,600,480000,A
img_1279.jpg,16727.84,120.66,59.54,800,600,480000,A
img_9434.jpg,16590.8,111.65,53.98,800,600,480000,A
img_9902.jpg,16590.8,111.65,53.98,800,600,480000,A
img_3835.jpg,16413.0,130.92,57.09,800,600,480000,A
img_5456.jpg,16402.23,116.23,65.74,800,600,480000,A
img_6788.jpg,16388.41,104.33,54.75,800,600,480000,A
img_8604.jpg,16357.38,95.71,59.03,800,600,480000,A
img_1401.jpg,15950.69,139.21,50.2,800,600,480000,A
img_6270.jpg,15789.5,116.0,65.98,800,600,480000,A
img_4854.jpg,15602.46,111.6,55.41,800,600,480000,A
img_4294.jpg,15473.91,107.49,53.09,800,600,480000,A
img_4718.jpg,15473.91,107.49,53.09,800,600,480000,A
img_5896.jpg,15183.89,114.78,58.53,800,599,479200,A
img_4157.jpg,15074.08,116.79,71.77,800,600,480000,A
img_4574.jpg,15074.08,116.79,71.77,800,600,480000,A
img_9176.jpg,15069.61,111.42,59.02,800,600,480000,A
img_9642.jpg,15069.61,111.42,59.02,800,600,480000,A
img_1309.jpg,14885.38,124.19,72.86,800,600,480000,A
img_3471.jpg,14837.81,133.07,87.79,800,600,480000,A
img_1200.jpg,14791.42,108.38,60.19,800,600,480000,A
img_6579.jpg,14767.46,126.96,70.72,800,600,480000,A
img_6533.jpg,14757.73,95.65,66.65,800,600,480000,A
img_5604.jpg,14737.13,99.38,56.27,800,600,480000,A
img_2871.jpg,14679.59,153.79,59.35,800,600,480000,A
img_6831.jpg,14664.09,130.29,53.14,800,600,480000,A
img_8425.jpg,14485.59,109.03,52.71,800,600,480000,A
img_5400.jpg,14372.61,131.05,77.63,800,599,479200,A
img_8832.jpg,14021.28,138.49,58.66,800,600,480000,A
img_5873.jpg,13962.45,123.57,60.99,800,599,479200,A
img_27.jpg,13890.27,105.81,73.81,800,600,480000,A
img_1649.jpg,13866.98,103.41,65.69,800,600,480000,A
img_3386.jpg,13703.72,111.32,62.47,800,600,480000,A
img_3494.jpg,13693.58,127.34,64.87,800,600,480000,A
img_2854.jpg,13520.68,96.73,63.66,800,600,480000,A
img_6956.jpg,13454.24,134.61,52.88,800,600,480000,A
img_279.jpg,13403.94,113.62,57.27,800,600,480000,A
img_2137.jpg,13358.56,135.62,64.16,800,600,480000,A
img_9109.jpg,13332.39,115.25,75.92,800,600,480000,A
img_9575.jpg,13332.39,115.25,75.92,800,600,480000,A
img_4117.jpg,13269.05,112.76,67.86,800,600,480000,A
img_4532.jpg,13269.05,112.76,67.86,800,600,480000,A
img_3259.jpg,13269.04,112.33,69.97,800,600,480000,A
img_8246.jpg,13197.64,112.35,66.57,800,600,480000,A
img_6466.jpg,13188.6,128.76,64.06,800,600,480000,A
img_2820.jpg,13118.17,118.72,55.18,800,600,480000,A
img_6312.jpg,13105.9,128.4,54.55,800,600,480000,A
img_2960.jpg,13105.79,131.73,54.42,800,600,480000,A
img_1971.jpg,13042.89,121.82,69.15,800,600,480000,A
img_682.jpg,13030.54,97.73,55.45,800,600,480000,A
img_3385.jpg,12981.3,114.48,63.23,800,600,480000,A
img_3551.jpg,12964.23,123.63,53.23,800,600,480000,A
img_3369.jpg,12954.31,135.98,59.55,800,600,480000,A
img_914.jpg,12717.11,104.93,65.25,800,600,480000,A
img_6293.jpg,12625.58,109.17,54.4,800,600,480000,A
img_1512.jpg,12600.01,77.97,64.89,800,600,480000,A
img_998.jpg,12568.68,125.03,54.5,800,600,480000,A
img_2724.jpg,12526.06,108.15,64.27,800,600,480000,A
img_7884.jpg,12523.68,141.31,60.18,800,600,480000,A
img_7949.jpg,12504.92,140.88,71.33,800,600,480000,A
img_2082.jpg,12411.34,109.78,65.82,800,600,480000,A
img_6437.jpg,12402.66,108.83,68.62,800,600,480000,A
img_7657.jpg,12390.66,109.17,72.9,800,600,480000,A
img_8352.jpg,12386.01,112.46,53.68,800,600,480000,A
img_8193.jpg,12365.09,170.39,74.22,800,600,480000,A
img_2355.jpg,12326.0,107.97,65.48,800,600,480000,A
img_8653.jpg,12309.95,108.47,63.71,800,599,479200,A
img_7161.jpg,12218.91,93.41,63.74,800,1062,849600,A
img_970.jpg,12081.62,124.27,64.33,800,600,480000,A
