image_name,blur_score,brightness,contrast,width,height,resolution,grade
img_5622.jpg,3.88,148.99,26.86,800,598,478400,D
img_1353.jpg,10.04,130.48,45.67,800,1422,1137600,D
img_8891.jpg,10.4,109.96,54.22,800,599,479200,D
img_7020.jpg,10.63,116.32,47.02,800,599,479200,D
img_2092.jpg,10.9,53.64,21.16,800,600,480000,D
img_4091.jpg,11.77,111.94,48.86,800,599,479200,D
img_4506.jpg,11.77,111.94,48.86,800,599,479200,D
img_3393.jpg,12.65,147.09,58.68,800,599,479200,D
img_4825.jpg,14.48,168.9,49.29,800,600,480000,D
img_1432.jpg,14.51,103.12,54.53,800,600,480000,D
img_5199.jpg,14.71,116.07,46.62,800,600,480000,D
img_9343.jpg,14.85,146.37,56.18,800,599,479200,D
img_9809.jpg,14.85,146.37,56.18,800,599,479200,D
img_377.jpg,14.93,166.34,56.39,800,600,480000,D
img_3611.jpg,15.73,77.93,50.55,800,600,480000,D
img_1143.jpg,16.42,115.15,61.2,800,600,480000,D
img_9135.jpg,16.66,121.82,56.62,800,600,480000,D
img_9601.jpg,16.66,121.82,56.62,800,600,480000,D
img_5244.jpg,16.81,156.23,38.47,800,600,480000,D
img_2959.jpg,17.02,66.23,36.75,800,599,479200,D
img_4982.jpg,17.07,75.1,35.28,800,599,479200,D
img_6978.jpg,17.23,128.17,50.03,800,599,479200,D
img_1841.jpg,17.31,132.69,33.71,800,600,480000,D
img_1436.jpg,17.37,111.91,70.66,800,1069,855200,D
img_2971.jpg,17.88,103.06,53.68,800,600,480000,D
img_518.jpg,18.26,142.67,50.45,800,600,480000,D
img_6879.jpg,18.49,72.51,46.37,800,600,480000,D
img_2461.jpg,18.65,135.24,49.74,800,600,480000,D
img_8342.jpg,18.77,145.26,44.79,800,1066,852800,D
img_8521.jpg,19.08,126.88,48.92,800,1066,852800,D
img_8577.jpg,19.11,144.1,51.29,800,800,640000,D
img_1503.jpg,19.48,93.66,45.31,800,600,480000,D
img_434.jpg,19.56,141.49,45.41,800,599,479200,D
img_6963.jpg,19.84,142.04,38.35,800,600,480000,D
img_3800.jpg,20.53,110.97,60.84,800,600,480000,D
img_948.jpg,20.99,123.63,64.8,800,1066,852800,D
img_7704.jpg,21.37,138.93,49.38,800,600,480000,D
img_7602.jpg,22.32,108.16,51.64,800,600,480000,D
img_4878.jpg,22.8,130.97,48.21,800,600,480000,D
img_2806.jpg,22.99,124.67,43.72,800,599,479200,D
img_6676.jpg,23.02,118.8,43.35,800,1066,852800,D
img_5321.jpg,23.1,97.17,57.27,800,600,480000,D
img_3817.jpg,23.15,130.3,38.52,800,599,479200,D
img_3322.jpg,23.2,67.68,62.91,800,600,480000,D
img_8012.jpg,23.58,88.09,52.05,800,599,479200,D
img_5649.jpg,23.68,136.5,37.38,800,1066,852800,D
img_639.jpg,23.73,136.32,58.49,800,600,480000,D
img_1477.jpg,23.89,110.48,42.82,800,600,480000,D
img_969.jpg,23.92,115.65,53.9,800,600,480000,D
img_2767.jpg,24.3,107.02,53.97,800,600,480000,D
img_848.jpg,24.55,141.44,56.37,800,600,480000,D
img_3705.jpg,24.83,135.99,44.89,800,600,480000,D
img_7613.jpg,25.15,142.01,74.3,800,1777,1421600,D
img_1976.jpg,25.16,109.92,40.1,800,600,480000,D
img_6715.jpg,25.22,115.21,47.3,800,600,480000,D
img_1158.jpg,25.35,119.47,66.41,800,1069,855200,D
img_6672.jpg,25.65,161.71,43.97,800,1066,852800,D
img_8101.jpg,25.79,111.28,50.58,800,1066,852800,D
img_2922.jpg,25.86,134.38,49.21,800,1066,852800,D
img_8361.jpg,25.87,98.86,63.42,800,599,479200,D
img_7252.jpg,26.13,129.07,46.92,800,600,480000,D
img_8793.jpg,26.35,137.84,45.43,800,600,480000,D
img_5950.jpg,26.39,166.65,78.17,800,599,479200,D
img_7357.jpg,26.43,133.96,39.87,800,1066,852800,D
img_780.jpg,26.61,105.86,54.78,800,1066,852800,D
img_2587.jpg,26.79,143.47,45.75,800,600,480000,D
img_1714.jpg,26.79,102.82,50.9,800,600,480000,D
img_550.jpg,26.93,89.62,55.07,800,600,480000,D
img_3795.jpg,27.66,101.35,57.42,800,600,480000,D
img_7029.jpg,27.66,136.14,58.35,800,1822,1457600,D
img_2021.jpg,27.74,130.55,68.58,800,600,480000,D
img_5537.jpg,27.82,136.87,65.76,800,1066,852800,D
img_2707.jpg,27.9,146.45,40.43,800,1062,849600,D
img_6971.jpg,27.96,117.33,70.19,800,600,480000,D
img_5027.jpg,28.03,181.88,48.42,800,600,480000,D
img_5181.jpg,28.22,152.62,48.27,800,600,480000,D
img_7241.jpg,28.23,138.1,45.92,800,1062,849600,D
img_6913.jpg,28.3,65.6,47.82,800,599,479200,D
img_3158.jpg,28.64,131.62,43.64,800,600,480000,D
img_2242.jpg,29.24,99.89,39.9,800,1777,1421600,D
img_1552.jpg,29.34,151.68,51.86,800,1066,852800,D
img_4884.jpg,29.41,148.89,49.96,800,600,480000,D
img_9002.jpg,29.91,136.15,48.08,800,600,480000,D
img_1060.jpg,29.94,97.78,61.96,800,600,480000,D
img_8179.jpg,30.13,129.5,64.78,800,599,479200,D
img_3738.jpg,30.15,93.09,47.74,800,600,480000,D
img_912.jpg,30.44,132.2,56.39,800,800,640000,D
img_6411.jpg,30.44,142.42,59.22,800,600,480000,D
img_104.jpg,30.63,199.9,67.87,800,600,480000,D
img_4301.jpg,30.86,133.22,33.86,800,600,480000,D
img_4725.jpg,30.86,133.22,33.86,800,600,480000,D
img_2310.jpg,30.93,148.02,50.11,800,600,480000,D
img_4101.jpg,31.13,119.22,55.58,800,600,480000,D
img_4516.jpg,31.13,119.22,55.58,800,600,480000,D
img_5663.jpg,31.18,112.15,53.56,800,599,479200,D
img_7041.jpg,32.09,101.66,55.3,800,600,480000,D
img_9088.jpg,32.2,91.9,40.15,800,600,480000,D
img_9554.jpg,32.2,91.9,40.15,800,600,480000,D
img_1097.jpg,32.21,144.09,44.15,800,600,480000,D
img_9003.jpg,32.3,100.99,54.56,800,600,480000,D
